时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 21:49:20:456	WTLEFT(C3:11:EA:D7:53:77)	-0.01	-0.651	0.775	-1.343			-40.52	1.42	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:456	WTLEFT(C3:11:EA:D7:53:77)	-0.009	-0.651	0.764	-1.282	0.183		-40.53	1.42	-75.51	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:456	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.649	0.769	-1.343			-40.53	1.42	-75.51	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:456	WTLEFT(C3:11:EA:D7:53:77)	-0.008	-0.651	0.771	-1.526			-40.54	1.42	-75.51	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:457	WTLEFT(C3:11:EA:D7:53:77)	-0.009	-0.651	0.764	-1.526	0.122		-40.55	1.42	-75.51	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:476	WTRIGHT(D0:74:13:DA:DA:8C)	-0.669	0.708	0.208	-0.366	0.122	-1.526	-18.79	44.98	-163.55	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:477	WTRIGHT(D0:74:13:DA:DA:8C)	-0.679	0.701	0.211	-0.854	0.244	-1.526	-18.8	44.98	-163.55	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:477	WTRIGHT(D0:74:13:DA:DA:8C)	-0.681	0.69	0.219	-0.732	0.427	-1.465	-18.8	44.99	-163.55	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:477	WTRIGHT(D0:74:13:DA:DA:8C)	-0.672	0.694	0.214	-0.61	0.122	-1.343	-18.8	44.99	-163.55	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:478	WTRIGHT(D0:74:13:DA:DA:8C)	-0.666	0.689	0.22	-0.549	0.122	-1.282	-18.81	45	-163.55	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:478	WTRIGHT(D0:74:13:DA:DA:8C)	-0.656	0.694	0.221	-0.366	0.122	-1.282	-18.81	45.01	-163.55	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:478	WTRIGHT(D0:74:13:DA:DA:8C)	-0.67	0.695	0.221	-0.549		-1.465	-18.81	45.01	-163.56	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:478	WTRIGHT(D0:74:13:DA:DA:8C)	-0.674	0.694	0.228	-0.549	0.305	-1.526	-18.81	45.02	-163.56	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:487	WTLEFT(C3:11:EA:D7:53:77)	-0.009	-0.651	0.759	-1.587	-0.244		-40.56	1.42	-75.51	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:487	WTLEFT(C3:11:EA:D7:53:77)	-0.008	-0.651	0.76	-1.343	-0.122		-40.56	1.42	-75.51	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:487	WTLEFT(C3:11:EA:D7:53:77)	-0.008	-0.652	0.754	-1.343			-40.57	1.42	-75.51	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:487	WTLEFT(C3:11:EA:D7:53:77)	-0.008	-0.654	0.752	-1.465	0.122		-40.57	1.42	-75.51	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:488	WTLEFT(C3:11:EA:D7:53:77)	-0.009	-0.651	0.757	-1.465	0.122		-40.58	1.42	-75.51	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:488	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.653	0.752	-1.343	0.122		-40.58	1.42	-75.51	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:488	WTLEFT(C3:11:EA:D7:53:77)	-0.007	-0.652	0.748	-1.099	0.244		-40.59	1.42	-75.51	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:488	WTLEFT(C3:11:EA:D7:53:77)	-0.008	-0.654	0.747	-1.221	0.061		-40.59	1.42	-75.51	-86.142	1.96	31.85	30	100
